Acmar ,Alabama,5004
Anchorage,Alaska,99501
WICKENBURG,Arizona,85358
Abbott,Arkansas,72944
San Jose,California,95110
Arvada,Colorado,80002
Avon,Connecticut,6001
Bear,Delaware,19701
Washington,District of Columbia,20001
Air Mail Facility,Florida,33122
 Aaron ,Georgia ,30450
Aiea,Hawaii,96701
Pocatello,Idaho,83201
Alden,Illinois,60001
Alexandria,Indiana,46001
Ackworth,Iowa,50001
Basehor,Kansas,66007
Bagdad,Kentucky,40003
Metairie,Louisiana,70001
Berwick,Maine,3901
Waldorf,Maryland,20601
Agawam,Massachusetts,1001
Almont,Michigan,48003
Afton,Minnesota,55001
Abbeville,Mississippi,38601
Arnold,Missouri,63010
Absarokee,Montana,59001
Bancroft,Nebraska,68004
Alamo,Nevada,89001
Amherst,New Hampshire,3031
Avenel,New Jersey,7001
Belen,New Mexico,87002
 Accord ,New York ,12404
 Aberdeen ,North Carolina,28315
 Abercrombie ,North Dakota,58001
 Aberdeen ,Ohio,45101
 Achille ,Oklahoma,73120
 Adams ,Oregon,97810
 Aaronsburg ,Pennsylvania,16820
 Adamsville ,Rhode Island,2801
 Abbeville ,South Carolina,29620
 Aberdeen ,South Dakota,57401
 Adams ,Tennessee,37010
 Abbott ,Texas,76621
 Altamont ,Utah,84001
 Alburgh ,Vermont,5440
 Abingdon ,Virginia,24210
 Aberdeen ,Washington,98520
 Abraham ,West Virginia,25918
 Abbotsford ,Wisconsin,54405
 Afton ,Wyoming ,83110
